visitor_zip,visitorzip_lat,visitorzip_lon,qpartysize25,qpartysize50,qpartysize75,qleadt25,qleadt50,qleadt75,qdur25,qdur50,qdur75,qdist25,qdist50,qdist75,res_count,sum_dur,sum_persnight
48612,43.884262,-84.456062,2,2,4,0,21,99.5,2,3,5,161.43,579.27,1525.51,108,376,1166
48613,43.934116,-84.145243,1,2,7,0,27,84,1,2,3,69.56,184.11,239.44,22,52,246
48614,43.248104,-84.308589,4,10,10,15,114,181,3,5,9,142.94,142.94,142.94,46,286,2389
48615,43.430556,-84.468766,2,2,3.75,0,8,29.3,1,2,3,143.29,334.01,1395.15,19,41,132
48616,43.197824,-84.130474,2,4,10,0,5,55.8,1,2,3,143.4,231.89,1003.53,49,117,709
48617,43.858078,-84.727826,2,2,5,0,15,79,2,3,4,146.04,842.38,1655.22,77,265,993
48618,43.735003,-84.544914,2,2,5,5,14,102.5,2,3,4,121.11,209.26,816,64,217,1241
48619,44.821518,-84.009893,2,2,3,160.5,181,182,4,5,5,52.73,52.73,52.73,60,282,807
48620,43.806264,-84.379598,2,2,2,2,11,20,1,4.5,8,171.5,704.58,1237.66,2,9,18
48621,44.719348,-84.000237,2,2,3,0,2,33.2,2,4,7.5,933.26,1328.11,1830.95,37,214,501
48622,43.821195,-84.878742,1.25,2,3,0,4,34,2,3,5,243.05,1303.04,1917.08,163,647,1641
48623,43.507013,-84.162473,2,4,5,12,66.5,173,2,3,5,111.83,206.03,206.03,226,780,3322
48624,44.074684,-84.455655,2,2,4,0,8,47,2,3,7,258.87,937.45,1377.4,244,1264,3636
48625,44.03111,-84.846191,2,2,3,0,1,15.8,1,2,5,219.83,1321.83,1499.34,155,612,1718
48626,43.414854,-84.220786,2,4,5,14.5,128.5,180.5,2,3,5,123.1,209.51,711.9,168,621,2853
48627,44.461214,-84.748101,1,2.5,3.5,0,0,2.5,1,2,2.5,1041.39,1597.6,1970.8,16,44,121
48628,43.791321,-84.327036,1,2,6,0,3,120,1,2,3,175.89,566.29,1517.27,54,145,529
48629,44.29882,-84.734068,2,2,2,0,2,24.5,2,3,5,188.41,969.03,1567.17,89,359,763
48630,44.324939,-84.775439,5,5,5,0,0,0,2,2,2,1287.5,1287.5,1287.5,1,2,10
48631,43.681887,-84.006655,2,2.5,5,2,46,144.5,2,2.5,4,89.15,89.15,1570.77,45,148,524
48632,43.839094,-85.015004,2,2,4,0,4,37.2,1,3,4,740.41,1200.83,1513.27,93,307,1152
48633,43.953815,-84.93368,2,2,2,0,8.5,29,1,2,3,811.53,903.88,2476.99,10,20,48
48634,43.759886,-84.051495,1,2,4,0,1,32,1,2,3,82.49,196.1,1282.1,67,197,738
48635,44.392672,-83.995067,2,3,5,0,3,18.5,1,2,3.5,29.94,101.16,841.76,24,68,246
48636,44.593396,-84.258514,1.5,2,2.5,0,0,5.2,1,2,4.5,1020.78,1743.2,2091.78,5,11,22
48637,43.413826,-84.33914,2,3,5,0,18,140.2,1,2,3,127.2,202.82,1294.87,33,72,355
48638,43.414825,-84.021468,2,4,6,6,49,171,2,3,4,117.79,139.58,295.46,154,519,2103
48640,43.582956,-84.351332,2,4,6,5,36,149,1,2,4,189.03,198.5,1089.13,670,2032,9404
48641,43.6157,-84.2472,2,2,3.5,0,17,28.5,1,1,2,995.93,2142.46,2348.52,19,28,77
48642,43.705115,-84.237854,2,3,6,5,32,146.8,2,2,4,187.37,195.26,1285.23,699,2109,9902
48647,44.685782,-84.060824,2,2,3,0,0,11,2,3,5,922.58,1301.35,1618.89,193,780,2121
48649,43.165114,-84.216701,2,4,5,2,26,96.8,1,2,3.5,148.97,596.38,1883.08,25,80,390
48650,43.845702,-84.022658,2,2,5,0,10,97.2,2,3,5,72.87,296.57,1235.11,99,350,1364
48651,44.251117,-84.611863,1.25,2,2,0,4,35,2,4,7,816.99,1329.05,1563.51,83,435,898
48652,43.932199,-84.206569,1,2,2,0,7,42.3,1,2,4,72.77,859.77,2254.64,23,68,222
48653,44.480372,-84.612958,2,2,7.25,2,31,130.5,1,3,4,122.24,248.79,1915.28,185,622,2871
48654,44.472832,-84.127179,1,2,4,0,2,32,1.7,2,3,40.27,1209.19,1531.71,46,126,373
48655,43.291508,-84.180519,3,5,7.5,11,123,181,2,4,6,134.73,134.73,221.53,131,587,3469
48656,44.373704,-84.456416,2,2,3,0,12,153,2,4,14,233.24,1371.14,1683.86,42,317,711
48657,43.719578,-84.400224,2,2,4,3,28,140.7,2,3,4,176.12,176.12,758.96,133,444,1488
48658,43.979452,-83.919222,2,4,7.25,6,51,166.2,2,2,3,55.88,55.88,55.88,101,292,1391
48659,44.073055,-84.046867,1.25,2,2.75,0,10.5,70,2,3,4,52.55,271.43,1285.33,46,142,499
48661,44.341441,-84.203015,2,2,4,0,4,64.2,1,2,4,157.7,933.33,1716.62,215,633,1923
48662,43.404312,-84.419414,2.5,4,6,4.5,39.5,113,1.5,2.5,3,131.16,199.13,199.13,40,109,551
48701,43.588158,-83.55578,1.75,2,5.25,0,39,77.7,1.8,3,4.5,94.07,94.28,379.26,9,30,112
