,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B14005_001E,B14005_002E,B14005_003E,B14005_004E,B14005_005E,B14005_006E,B14005_007E,B14005_008E,B14005_009E,B14005_010E,B14005_011E,B14005_012E,B14005_013E,B14005_014E,B14005_015E,B14005_016E,B14005_017E,B14005_018E,B14005_019E,B14005_020E,B14005_021E,B14005_022E,B14005_023E,B14005_024E,B14005_025E,B14005_026E,B14005_027E,B14005_028E,B14005_029E,zip code tabulation area
26537,4980,1266,1983,1114,451,166,383,280,198,0,47,151,82,72,18,0,54,10,0,0,10,103,78,9,0,69,25,0,0,0,0,25,0,25,0,76642
26538,9131,538,2292,3333,2103,865,729,372,352,128,0,224,20,20,20,0,0,0,0,0,0,357,307,141,19,147,50,0,0,0,0,50,0,0,50,76643
26539,7018,1803,1867,2256,669,423,828,391,335,53,0,282,56,31,28,0,3,25,25,0,0,437,370,90,17,263,67,60,32,6,22,7,0,0,7,76645
26540,1751,313,643,550,167,78,105,58,56,13,3,40,2,0,0,0,0,2,0,0,2,47,43,1,17,25,4,2,2,0,0,2,0,0,2,76648
26541,578,87,223,157,80,31,41,27,25,0,9,16,2,1,1,0,0,1,1,0,0,14,14,13,0,1,0,0,0,0,0,0,0,0,0,76649
26542,49,2,14,20,13,0,6,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76650
26543,2225,500,675,744,236,70,210,123,113,4,7,102,10,10,5,0,5,0,0,0,0,87,87,20,0,67,0,0,0,0,0,0,0,0,0,76651
26544,718,151,279,212,67,9,53,11,11,0,0,11,0,0,0,0,0,0,0,0,0,42,42,13,0,29,0,0,0,0,0,0,0,0,0,76652
26545,665,78,223,316,28,20,64,17,17,0,2,15,0,0,0,0,0,0,0,0,0,47,22,3,4,15,25,25,22,0,3,0,0,0,0,76653
26546,92,14,18,46,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76654
26547,5946,606,1558,2149,1080,553,512,378,351,119,0,232,27,27,27,0,0,0,0,0,0,134,134,86,2,46,0,0,0,0,0,0,0,0,0,76655
26548,1640,475,546,456,136,27,183,106,87,3,0,84,19,8,8,0,0,11,11,0,0,77,77,0,0,77,0,0,0,0,0,0,0,0,0,76656
26549,5742,594,1872,1599,1100,577,581,287,261,14,17,230,26,26,0,26,0,0,0,0,0,294,276,61,0,215,18,18,18,0,0,0,0,0,0,76657
26550,330,58,112,120,28,12,18,15,15,0,0,15,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,76660
26551,5513,1709,2068,1273,325,138,603,266,218,17,0,201,48,25,25,0,0,23,23,0,0,337,211,70,7,134,126,51,22,20,9,75,63,12,0,76661
26552,1974,335,749,579,193,118,364,279,264,3,4,257,15,0,0,0,0,15,0,0,15,85,70,5,6,59,15,6,6,0,0,9,0,4,5,76664
