CustZip,visitorzip_lat,visitorzip_lon,per_family_annual_income,non_hs_educated,PopulationRaceWhite,Dist_to_park,util_days,disabled_percent,MedianAge
1776,42.388828,-71.42304,215560.6827,0.024320828,0.893538705,33.25710114,0.145931253,0.059451823,42.5
1778,42.36119,-71.362933,167487.7555,0.02072823,0.853612022,33.02622678,0.145014875,0.073119093,45.3
1801,42.489526,-71.158884,61753.93209,0.065847632,0.814667249,54.26162015,0.069429093,0.10923612,40.2
1803,42.505988,-71.204536,87565.36427,0.067775861,0.791481194,52.93300856,0.105035325,0.095818108,41.6
1810,42.649578,-71.166028,128159.4802,0.033973146,0.83425198,69.44158701,0.181229481,0.068872987,42.1
1821,42.549069,-71.25588,80857.76977,0.060275759,0.890597163,55.34966864,0.049488618,0.098408957,40
1824,42.587771,-71.35176,94971.3341,0.036745259,0.880012846,57.27265518,0.141945325,0.096257991,43.7
1826,42.69256,-71.309028,72770.47262,0.094431342,0.88155122,57.62948451,0.085956087,0.114588895,39.9
1827,42.673198,-71.502242,128206.9614,0.03330333,0.941491035,45.94839877,0.305127399,0.051920123,42.9
1830,42.79519,-71.05563,54001.5594,0.164220438,0.789553248,67.51598365,0.075546008,0.162085836,40
1832,42.791176,-71.129295,51088.64629,0.119255728,0.749682684,65.5439443,0.069174977,0.127977814,37
1833,42.723822,-70.97822,104665.1685,0.01924435,0.957106196,77.23162249,0.182207015,0.06570223,41.8
1834,42.75092,-71.009929,97696.20631,0.032990574,0.964545595,72.18314947,0.138721164,0.08928839,43.5
1835,42.753546,-71.086654,56468.81041,0.044876755,0.877722555,68.09567511,0.200409297,0.094797602,38.6
1840,42.70594,-71.159753,15764.9702,0.411627907,0.153391084,67.1682392,0.006338475,0.267357285,36.4
1841,42.708653,-71.163282,35264.72108,0.372385692,0.151106406,66.74857935,0.007263102,0.15320867,29.4
1843,42.691573,-71.161102,40757.72067,0.247676362,0.318362334,68.21427363,0.044953941,0.151034034,31.9
1844,42.731861,-71.18578,66496.73665,0.112115788,0.748925903,65.59057727,0.071514741,0.10742476,39.3
1845,42.673022,-71.088049,100480.4488,0.040521978,0.859022291,71.34361215,0.12940886,0.07838371,40.1
