,Annual Aggregate Family Income,zip code tabulation area
1057,38820200,04087
1058,24502900,04088
1059,240968300,04090
1060,21736100,04091
1061,336498000,04092
1062,184458200,04093
1063,19576200,04095
1064,326898600,04096
1065,107332300,04097
1066,175972000,04101
1067,314104300,04102
1068,604536800,04103
1069,442243900,04105
1070,505724300,04106
1071,426774700,04107
1072,23605400,04108
1073,2250100,04109
1074,92068800,04110
1075,458425500,04210
1076,5684800,04216
1077,65642400,04217
1078,22510400,04219
1079,47330700,04220
1080,14782800,04221
1081,106886200,04222
1082,47082000,04224
1083,2107100,04226
1084,964900,04227
1085,,04228
1086,5758300,04231
1087,1262900,04234
1088,96704100,04236
1089,2485100,04237
1090,29198300,04238
1091,93445700,04239
1092,493909000,04240
1093,69967900,04250
1094,80061500,04252
1095,37182600,04253
1096,37833100,04254
1097,16994200,04255
1098,50672100,04256
1099,28991200,04257
1100,77815100,04258
1101,71266500,04259
1102,114289100,04260
1103,7140800,04261
1104,36876700,04263
1105,24030500,04265
1106,,04267
1107,74127500,04268
1108,94669900,04270
1109,,04271
1110,128116300,04274
1111,9988800,04275
1112,66410700,04276
1113,112018300,04280
1114,68390100,04281
1115,129468000,04282
1116,26309000,04284
1117,8337300,04285
1118,4332200,04286
1119,67952700,04287
1120,26142900,04289
1121,24308300,04290
1122,14272400,04292
1123,63561100,04294
1124,399988200,04330
1125,35347500,04342
1126,,04343
1127,43518200,04344
1128,218138600,04345
1129,33569400,04346
1130,61966500,04347
1131,72407100,04348
1132,25683400,04349
1133,66779400,04350
1134,76239200,04351
1135,30210500,04352
1136,44588800,04353
1137,33528000,04354
1138,64288700,04355
1139,70832400,04357
1140,80491900,04358
1141,7795000,04359
1142,14533000,04360
1143,54919300,04363
1144,144396100,04364
1145,786698100,04401
1146,9702700,04406
1147,3379300,04408
1148,18154200,04410
1149,30998700,04411
1150,212666000,04412
1151,5180100,04413
1152,18804500,04414
1153,2400100,04415
1154,91576800,04416
1155,3526800,04417
1156,23997400,04418
1157,53716200,04419
1158,19154400,04421
1159,20484100,04422
1160,10553700,04424
1161,91888100,04426
1162,45233300,04427
1163,57344600,04428
1164,131514000,04429
1165,25425800,04430
1166,,04431
1167,23353600,04434
1168,15655300,04435
1169,17854700,04438
1170,40825000,04441
1171,886700,04442
1172,36499800,04443
1173,225011900,04444
1174,20327900,04448
1175,26895100,04449
1176,21000900,04450
1177,2280200,04451
1178,12301200,04453
1179,629500,04454
1180,24850500,04455
1181,52677600,04456
1182,103154200,04457
1183,13686700,04459
1184,23192900,04460
1185,52863700,04461
1186,72007600,04462
1187,36709500,04463
1188,9509400,04464
1189,129777600,04468
1190,,04469
1191,7089400,04471
1192,42626100,04472
1193,123834300,04473
1194,93845300,04474
1195,6171700,04475
1196,22677000,04476
1197,4102700,04478
1198,22165200,04479
1199,12483600,04481
1200,5187400,04485
1201,9560800,04487
1202,24790700,04488
1203,10240700,04489
1204,3955800,04490
1205,1213800,04491
1206,1611700,04492
1207,32335400,04493
1208,5860900,04495
1209,83115000,04496
1210,5544100,04497
1211,205405400,04530
1212,13684100,04535
1213,42516200,04537
1214,47491400,04538
1215,34114500,04539
1216,3246500,04541
1217,30690700,04543
1218,14774500,04544
1219,22490700,04547
1220,21919100,04548
1221,22019000,04551
1222,40636600,04553
1223,14816800,04554
1224,39170400,04555
1225,23077000,04556
1226,6818400,04558
1227,51175100,04562
1228,25931100,04563
1229,5818100,04564
1230,14863300,04568
1231,,04570
1232,11197300,04571
1233,77309600,04572
1234,13682700,04573
1235,22633100,04574
1236,,04575
1237,15418100,04576
1238,82760200,04578
1239,68092500,04579
1240,269689500,04605
1241,24796000,04606
1242,22620900,04607
1243,107768100,04609
1244,8039700,04611
1245,9176200,04612
1246,3300000,04613
1247,64642400,04614
1248,20859800,04616
1249,23053400,04617
1250,44759500,04619
1251,21062500,04622
1252,19505100,04623
1253,1824400,04624
1254,,04625
1255,9020700,04626
1256,35091800,04627
1257,10751300,04628
1258,,04629
1259,19371300,04630
1260,20499900,04631
1261,27745300,04634
1262,521800,04635
1263,2322200,04637
1264,44638200,04640
1265,1484000,04642
1266,12727100,04643
1267,,04644
1268,1524500,04645
1269,1912500,04646
1270,6978500,04648
1271,18146000,04649
1272,2603900,04650
1273,29666300,04652
1274,8785400,04653
1275,42326400,04654
1276,18827700,04655
1277,6776900,04657
1278,18134600,04658
1279,34127000,04660
1280,11979900,04662
1281,17621600,04664
1282,21668300,04666
1283,21277500,04667
1284,21257500,04668
1285,3627100,04669
1286,8410100,04671
1287,2119500,04673
1288,8683700,04674
1289,11191300,04675
1290,16928800,04676
1291,5697200,04677
1292,38083400,04679
1293,16445400,04680
1294,24205600,04681
1295,,04683
1296,33186900,04684
1297,5767700,04685
1298,1802300,04686
1299,9514000,04691
1300,7296000,04693
1301,41383200,04694
1302,143251400,04730
1303,25102200,04732
1304,3785900,04733
1305,13326500,04734
1306,8328500,04735
1307,174762800,04736
1308,14516200,04739
1309,21300200,04740
1310,,04741
1311,54125700,04742
1312,86099100,04743
1313,20750500,04745
1314,6993800,04746
1315,27340400,04747
1316,31902900,04750
1317,54464500,04756
1318,55803800,04757
1319,24181900,04758
1320,10112800,04760
1321,8426900,04761
1322,11138700,04762
1323,9481400,04763
1324,881100,04764
1325,26444500,04765
1326,6421000,04766
1327,9253200,04768
1328,158720600,04769
1329,10588600,04772
1330,9469200,04773
1331,9827200,04774
1332,14186300,04776
1333,5682400,04777
1334,6747700,04779
1335,12161500,04780
1336,9028800,04781
1337,6165200,04783
1338,39571400,04785
1339,31785900,04786
1340,9318100,04787
1341,100910400,04841
1342,153382100,04843
1343,29376700,04847
1344,18423500,04848
1345,81049700,04849
1346,436800,04851
1347,489400,04852
1348,9384600,04853
1349,40518400,04854
1350,4197500,04855
1351,87954500,04856
1352,25006300,04858
1353,6171800,04859
1354,47604100,04860
1355,44122500,04861
1356,70570000,04862
1357,23798800,04863
1358,82868700,04864
1359,436929400,04901
1360,38102600,04910
1361,23047800,04911
1362,15807700,04912
1363,129642200,04915
1364,73414900,04917
1365,3178700,04918
1366,21981300,04920
1367,20500100,04921
1368,16615500,04922
1369,7182900,04923
1370,37102600,04924
1371,1233900,04925
1372,,04926
1373,51572400,04927
1374,34029000,04928
1375,12175400,04929
1376,70091500,04930
1377,23362200,04932
1378,,04933
1379,4482500,04936
1380,119330100,04937
1381,134152800,04938
1382,17761700,04939
1383,,04940
1384,22074700,04941
1385,17534100,04942
1386,28492400,04943
1387,,04944
1388,16052000,04945
1389,36768100,04947
1390,10721300,04949
1391,85087000,04950
1392,15831900,04951
1393,30515300,04952
1394,47290100,04953
1395,23127100,04955
1396,11684300,04956
1397,84185500,04957
1398,27015600,04958
1399,12604500,04961
1400,1024500,04962
1401,196430000,04963
1402,4104600,04964
1403,30149500,04965
1404,29914700,04966
1405,77202700,04967
1406,18365500,04969
1407,29694200,04970
1408,27189300,04971
1409,25699800,04973
1410,41368000,04974
1411,,04975
1412,160611300,04976
1413,15631900,04978
1414,17015600,04979
1415,43651900,04981
1416,6903600,04982
1417,23723200,04983
1418,9459800,04984
1419,1856200,04985
1420,25629800,04986
1421,12396300,04987
1422,29388100,04988
1423,81727800,04989
1424,,04992
1425,215822100,05001
1426,2781900,05031
1427,57117300,05032
1428,48382500,05033
1429,9994700,05034
1430,12266300,05035
1431,26167800,05036
1432,14870200,05037
1433,25988800,05038
1434,26093400,05039
1435,8302000,05040
1436,4875700,05041
1437,10582800,05042
1438,25082300,05043
1439,45351700,05045
1440,22768900,05046
1441,63358800,05048
1442,1591700,05050
1443,31296600,05051
1444,4295800,05052
1445,7452800,05053
1446,131552800,05055
1447,11051600,05056
1448,4925400,05058
1449,9085000,05059
1450,86929800,05060
1451,19730100,05061
1452,14901600,05062
1453,26968700,05065
1454,6973700,05067
1455,50346300,05068
1456,9584600,05069
1457,15996100,05070
1458,11576200,05071
1459,19229000,05072
1460,38769900,05075
1461,6133800,05076
1462,27213700,05077
1463,10890300,05079
1464,7806600,05081
1465,1895200,05083
1466,437400,05084
1467,13279700,05086
1468,96696500,05089
1469,124573100,05091
1470,68035300,05101
1471,1247500,05141
1472,20348600,05142
1473,95761900,05143
1474,13688100,05146
1475,26498200,05148
1476,35627000,05149
1477,18263600,05150
1478,25042700,05151
1479,14480700,05152
1480,15011700,05153
1481,15630400,05154
1482,13423900,05155
1483,191716100,05156
1484,31195100,05158
1485,13200600,05161
1486,252922300,05201
1487,84565500,05250
1488,45930300,05251
1489,8275200,05252
1490,15818600,05253
1491,10290100,05254
1492,113593400,05255
1493,46026800,05257
1494,5887300,05260
1495,49099800,05261
1496,82179600,05262
1497,320579300,05301
1498,19874800,05340
1499,11491200,05341
1500,7913100,05342
1501,14015500,05343
1502,47854600,05345
1503,114165500,05346
